Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=3), score: 1697.46597603 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=3), score: 1622.07766517 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=3), score: 1725.82917729 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=3), score: 1714.21523037 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=3), score: 1704.43459871 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=5), score: 1636.28748119 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=5), score: 1625.66404239 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=5), score: 1456.44924389 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=5), score: 1652.86454248 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=5), score: 1689.82041884 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=5), score: 1609.05762581 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=3L, min_poly=5), score: 1705.96930663 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=3L, min_poly=5), score: 1694.81522448 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=3L, min_poly=5), score: 1686.88032469 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=3), score: 1652.52209077 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=3), score: 1634.79871088 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=3L, min_poly=3), score: 1469.19334067 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=3L, min_poly=3), score: 1664.44677974 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=3L, min_poly=3), score: 1697.46597603 (best: 1727.12489168)
